🕘️更新时间,#genre#
CCTV11,http://222.90.22.2:9999/rtp/239.112.205.213:5140
CCTV11,http://114.100.16.212:4022/rtp/238.1.78.206:7502
CCTV11,http://43.248.96.56:8880/mgtv/667987558.m3u8
CCTV11,http://183.24.62.163:44443/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,https://live.sxrtv.com/iptv/cctv11.flv
CCTV11,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.21:1025
CCTV11,http://171.15.18.199:8180/TV00000000000000000011@HHZT
CCTV12,http://101.201.225.252:35456/gptv/G_CCTV-12-HQ.m3u8
CCTV12,http://www.stoneshi1984.ren:58120/rtp/239.112.205.88:5140
CCTV12,http://222.90.22.2:9999/rtp/239.112.205.88:5140
CCTV12,http://222.90.22.2:9999/rtp/239.110.205.10:9786
CCTV12,http://114.100.16.212:4022/rtp/238.1.78.242:7808
CCTV12,http://43.248.96.56:8880/mgtv/673168185.m3u8
CCTV12,http://183.24.62.163:44443/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,https://live.sxrtv.com/iptv/cctv12.flv
CCTV12,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.64:1025
CCTV12,http://171.15.18.199:8180/TV00000000000000000012@HHZT
CCTV13,http://101.201.225.252:35456/gptv/G_CCTV-13-HQ.m3u8
CCTV13,http://www.stoneshi1984.ren:58120/rtp/239.111.205.53:5140
CCTV13,http://222.90.22.2:9999/rtp/239.111.205.53:5140
CCTV13,http://114.100.16.212:4022/rtp/238.1.79.35:4392
CCTV13,http://43.248.96.56:8880/mgtv/608807423.m3u8
CCTV13,http://183.24.62.163:44443/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,https://live.sxrtv.com/iptv/cctv13.flv
CCTV13,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.23:1025
CCTV13,http://171.15.18.199:8180/TV00000000000000000013@HHZT
CCTV13,http://116.230.254.173:8004/mgtv/608807423.m3u8
CCTV14,http://101.201.225.252:35456/gptv/G_CCTV-14-HQ.m3u8
CCTV14,http://www.stoneshi1984.ren:58120/rtp/239.112.205.91:5140
CCTV14,http://222.90.22.2:9999/rtp/239.110.205.20:9826
CCTV14,http://222.90.22.2:9999/rtp/239.112.205.91:5140
CCTV14,http://114.100.16.212:4022/rtp/238.1.78.243:7816
CCTV14,http://43.248.96.56:8880/mgtv/624878440.m3u8
CCTV14,http://183.24.62.163:44443/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,https://live.sxrtv.com/iptv/cctv14.flv
CCTV14,http://e2.woc.iiiya.cn:28888/rtp/239.61.5.65:1025
CCTV14,http://171.15.18.199:8180/TV00000000000000000014@HHZT
CCTV15,http://101.201.225.252:35456/gptv/G_CCTV-15-HQ.m3u8
CCTV15,http://www.stoneshi1984.ren:58120/rtp/239.112.205.214:5140
CCTV15,http://222.90.22.2:9999/rtp/239.112.205.214:5140
CCTV15,http://222.90.22.2:9999/rtp/239.109.205.103:8760
CCTV15,http://114.100.16.212:4022/rtp/238.1.78.222:7648
CCTV15,http://43.248.96.56:8880/mgtv/673168223.m3u8
CCTV15,http://183.24.62.163:44443/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,https://live.sxrtv.com/iptv/cctv15.flv
CCTV15,http://e2.woc.iiiya.cn:28888/rtp/239.61.4.25:1025
CCTV15,http://171.15.18.199:8180/TV00000000000000000015@HHZT
CCTV16,http://101.201.225.252:35456/gptv/G_CCTV-16-HQ.m3u8
CCTV16,http://www.stoneshi1984.ren:58120/rtp/239.111.205.134:5140
